"Name","Team","G","PA","H","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","Fld","BsR","WAR","playerid"
"Babe Ruth","- - -","2112","9289","2531","665","1972","1987","110","20.2 %","12.3 %",".361",".341",".347",".483",".708",".518","199","71.0","","157.6","1011327"
"Lou Gehrig","Yankees","2164","9660","2721","493","1888","1995","102","15.6 %","8.2 %",".292",".332",".340",".447",".632",".474","174","2.0","","125.9","1004598"
"Jimmie Foxx","- - -","2113","9053","2516","519","1678","1849","86","15.3 %","13.2 %",".295",".340",".332",".436",".627",".467","163","27.0","","111.1","1004285"
"Rogers Hornsby","- - -","1704","7232","2310","274","1306","1318","76","11.9 %","6.8 %",".246",".377",".374",".453",".621",".481","179","27.0","","107.6","1006030"
"Mel Ott","Giants","2163","9083","2366","415","1510","1555","73","14.7 %","7.5 %",".236",".300",".311",".417",".547",".435","157","55.0","","96.1","1009904"
"Charlie Gehringer","Tigers","2278","10185","2827","183","1768","1420","181","11.6 %","3.6 %",".161",".320",".321",".404",".481",".404","125","34.0","","87.9","1004596"
"Al Simmons","- - -","2171","9368","2897","306","1497","1813","88","6.5 %","7.6 %",".203",".341",".336",".382",".539",".411","133","67.0","","79.0","1011978"
"Frankie Frisch","- - -","2257","9903","2837","103","1511","1220","404","7.3 %","2.6 %",".117",".319",".318",".371",".435",".379","116","138.0","","78.5","1004364"
"Paul Waner","- - -","2260","9917","2956","111","1538","1227","101","9.7 %","3.4 %",".146",".342",".338",".405",".484",".409","136","28.0","","75.3","1013597"
"Joe Cronin","- - -","1941","8413","2188","156","1193","1342","86","11.8 %","7.8 %",".167",".317",".303",".390",".470",".391","119","29.0","","72.6","1002796"
"Goose Goslin","- - -","2287","9822","2735","248","1483","1609","175","9.7 %","6.0 %",".184",".318",".316",".387",".500",".402","127","50.0","","71.9","1004893"
"Harry Heilmann","- - -","1574","6685","2085","161","1044","1230","72","10.2 %","5.6 %",".197",".367",".361",".431",".558",".448","152","-30.0","","64.5","1005590"
"Arky Vaughan","Pirates","1411","6181","1709","84","936","764","86","12.6 %","3.7 %",".147",".328",".324",".415",".472",".412","144","17.0","","64.0","1013377"
"Bill Terry","Giants","1721","7111","2193","154","1120","1078","56","7.6 %","6.3 %",".165",".350",".341",".393",".506",".408","136","73.0","","61.1","1012927"
"Bill Dickey","Yankees","1568","6325","1770","194","863","1129","33","9.4 %","4.0 %",".181",".303",".313",".381",".494",".395","126","16.0","","56.7","1003271"
"Tony Lazzeri","- - -","1740","7303","1840","178","986","1191","148","11.9 %","11.8 %",".174",".316",".292",".380",".467",".386","123","-4.0","","56.7","1007422"
"Kiki Cuyler","- - -","1878","8098","2299","128","1305","1065","328","8.3 %","9.3 %",".152",".346",".321",".386",".474",".401","129","14.0","","56.2","1002914"
"Gabby Hartnett","- - -","1990","7297","1912","236","867","1179","28","9.6 %","9.6 %",".192",".305",".297",".370",".489",".390","125","12.0","","56.1","1005458"
"Mickey Cochrane","- - -","1482","6206","1652","119","1041","832","64","13.8 %","3.5 %",".158",".317",".320",".419",".478",".411","133","-2.0","","55.9","1002384"
"Earl Averill","- - -","1668","7215","2019","238","1224","1164","70","10.7 %","7.2 %",".216",".318",".318",".395",".534",".414","130","-32.0","","55.0","1000378"
"Joe Sewell","- - -","1903","8329","2226","49","1141","1055","74","10.1 %","1.4 %",".101",".312",".312",".391",".413",".376","111","-4.0","","54.3","1011766"
"Tris Speaker","- - -","1170","5034","1496","72","830","724","58","12.6 %","2.1 %",".180",".352",".354",".441",".534",".448","150","16.0","","54.3","1012309"
"Hank Greenberg","Tigers","1049","4670","1299","249","842","1015","50","13.4 %","13.8 %",".297",".338",".325",".418",".622",".459","154","12.0","","53.4","1004996"
"Buddy Myer","- - -","1923","8187","2131","38","1174","850","156","11.8 %","5.2 %",".103",".318",".303",".389",".406",".369","109","-1.0","","51.4","1009415"
"Joe DiMaggio","Yankees","825","3737","1163","198","735","816","21","9.0 %","4.3 %",".281",".321",".345",".408",".626",".458","159","42.0","","51.3","1003311"
"Luke Appling","White Sox","1488","6295","1726","24","884","751","101","12.3 %","5.3 %",".093",".333",".316",".401",".409",".378","111","27.0","","50.7","1000284"
"Ben Chapman","- - -","1659","7298","1925","90","1126","959","286","11.2 %","7.5 %",".139",".320",".302",".384",".441",".379","116","52.0","","49.8","1002141"
"Travis Jackson","Giants","1656","6679","1768","135","833","929","71","6.2 %","8.5 %",".143",".303",".291",".337",".433",".353","102","139.0","","49.6","1006314"
"Heinie Manush","- - -","2008","8416","2524","110","1287","1183","114","6.0 %","4.1 %",".149",".335",".330",".377",".479",".389","121","-1.0","","49.4","1008089"
"Bob Johnson","Athletics","1310","5689","1457","239","919","960","75","13.6 %","10.8 %",".229",".303",".299",".396",".528",".416","132","14.0","","48.7","1006428"
"Sam Rice","- - -","2039","8733","2561","30","1328","918","285","6.9 %","2.2 %",".109",".330",".324",".375",".433",".374","112","49.0","","47.4","1010900"
"Chuck Klein","- - -","1723","7127","2072","300","1167","1198","78","8.4 %","7.2 %",".224",".315",".321",".380",".546",".415","135","-39.0","","47.2","1006991"
"Joe Medwick","- - -","1360","5901","1838","180","954","1047","32","5.3 %","7.6 %",".210",".338",".332",".370",".542",".409","140","39.0","","46.6","1008719"
"Earle Combs","Yankees","1455","6507","1866","58","1186","632","96","10.3 %","4.3 %",".138",".334",".325",".397",".462",".392","127","6.0","","46.3","1002478"
"Babe Herman","- - -","1515","6187","1809","180","876","988","94","8.3 %","8.8 %",".208",".336",".325",".383",".533",".413","139","-30.0","","46.1","1005691"
"Hack Wilson","- - -","1348","5556","1461","244","884","1063","52","12.1 %","12.8 %",".238",".320",".307",".395",".545",".423","142","-33.0","","45.6","1014083"
"Wally Berger","- - -","1350","5663","1550","242","809","898","36","7.7 %","12.3 %",".221",".309",".300",".359",".522",".395","136","20.0","","44.3","1000875"
"Billy Herman","- - -","1477","6770","1866","40","952","618","54","7.8 %","4.7 %",".106",".320",".308",".365",".413",".362","113","61.0","","44.3","1005692"
"Ty Cobb","- - -","1106","4791","1476","50","830","726","127","10.7 %","3.0 %",".148",".362",".357",".431",".505",".430","142","-3.0","","43.8","1002378"
"Jimmie Dykes","- - -","2206","9078","2212","108","1091","1057","67","10.3 %","8.9 %",".121",".305",".283",".368",".404",".361","101","-13.0","","43.2","1003617"
"Ken Williams","- - -","1249","5076","1428","190","805","860","142","10.3 %","4.7 %",".221",".313",".325",".400",".547",".427","136","21.0","","43.1","1014012"
"Jim Bottomley","- - -","1991","8355","2313","219","1177","1422","58","7.9 %","7.1 %",".191",".314",".310",".369",".500",".394","123","-73.0","","42.5","1001228"
