"Name","Team","G","PA","H","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","Fld","BsR","WAR","playerid"
"Stan Musial","Cardinals","2632","11348","3274","428","1804","1734","72","12.7 %","5.0 %",".235",".323",".335",".421",".569",".443","162","42.0","","130.3","1009405"
"Ted Williams","Red Sox","1856","7847","2091","430","1398","1461","16","21.3 %","7.2 %",".291",".323",".341",".483",".632",".493","192","-26.0","","112.4","1014040"
"Mickey Mantle","Yankees","1399","6053","1537","320","1113","935","112","16.6 %","16.9 %",".261",".330",".307",".422",".568",".438","172","13.0","","80.0","1008082"
"Willie Mays","Giants","1218","5298","1481","279","884","812","204","10.7 %","9.5 %",".268",".306",".317",".390",".585",".427","158","90.0","","71.4","1008315"
"Eddie Mathews","Braves","1330","5810","1373","338","929","901","43","14.4 %","13.6 %",".268",".272",".281",".385",".549",".410","153","12.0","","68.4","1008236"
"Duke Snider","Dodgers","1758","7171","1882","368","1136","1185","96","11.5 %","14.6 %",".253",".312",".301",".383",".554",".413","142","-5.0","","67.4","1012230"
"Yogi Berra","Yankees","1847","7491","1946","318","1067","1306","27","8.4 %","4.6 %",".199",".265",".287",".351",".486",".374","126","23.0","","66.2","1000898"
"Richie Ashburn","- - -","1945","8895","2376","22","1213","539","215","11.9 %","5.7 %",".075",".329",".310",".396",".385",".365","116","97.0","","65.4","1000335"
"Pee Wee Reese","Dodgers","1930","8435","1949","119","1204","811","207","13.0 %","9.4 %",".112",".292",".273",".370",".384",".358","107","103.0","","65.1","1010776"
"Jackie Robinson","Dodgers","1382","5802","1518","137","947","734","197","12.8 %","5.0 %",".162",".310",".311",".409",".474",".412","138","81.0","","62.7","1011070"
"Minnie Minoso","- - -","1500","6556","1713","166","989","896","184","10.7 %","7.3 %",".169",".310",".307",".397",".476",".392","138","50.0","","56.9","1008984"
"Larry Doby","- - -","1533","6302","1515","253","960","970","47","13.8 %","16.0 %",".207",".307",".283",".386",".490",".396","137","20.0","","56.6","1003346"
"Lou Boudreau","- - -","1289","5378","1387","49","627","613","34","11.3 %","3.5 %",".112",".307",".302",".387",".414",".376","126","94.0","","55.8","1001234"
"Vern Stephens","- - -","1717","7238","1858","247","1001","1174","25","9.6 %","9.5 %",".174",".289",".286",".355",".460",".377","118","-2.0","","53.7","1012501"
"Ralph Kiner","- - -","1472","6256","1451","369","971","1015","22","16.2 %","12.0 %",".269",".264",".279",".398",".548",".428","146","-40.0","","53.4","1006923"
"Ernie Banks","Cubs","1078","4632","1213","269","676","778","36","8.6 %","10.8 %",".266",".276",".292",".354",".557",".390","134","50.0","","52.4","1000512"
"Gil Hodges","Dodgers","1897","7692","1832","353","1063","1223","60","11.7 %","13.8 %",".217",".279",".275",".361",".492",".382","122","48.0","","50.0","1005883"
"Bob Elliott","- - -","1657","6840","1713","159","884","1036","41","12.4 %","7.6 %",".157",".296",".289",".379",".446",".386","126","-10.0","","49.9","1003733"
"Hank Aaron","Braves","1039","4530","1309","219","714","743","36","7.5 %","8.3 %",".242",".306",".318",".369",".560",".402","151","43.0","","49.1","1000001"
"Nellie Fox","- - -","1760","7843","2077","29","1031","614","73","7.3 %","2.0 %",".080",".300",".297",".358",".377",".336","101","97.0","","48.6","1004281"
