"Name","Team","G","PA","H","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","Fld","BsR","WAR","playerid"
"Hank Aaron","- - -","2259","9410","2462","536","1460","1554","204","11.3 %","10.7 %",".253",".284",".298",".376",".552",".407","156","55.0","","101.4","1000001"
"Carl Yastrzemski","Red Sox","2421","10385","2559","338","1402","1343","150","13.8 %","10.8 %",".181",".298",".289",".387",".470",".382","136","163.0","","93.8","1014326"
"Willie Mays","- - -","1774","7195","1802","381","1178","1091","134","12.5 %","14.2 %",".246",".293",".290",".380",".537",".403","156","95.0","","91.7","1008315"
"Brooks Robinson","Orioles","2408","10046","2427","243","1077","1193","22","7.6 %","8.2 %",".138",".270",".268",".325",".406",".326","108","257.0","","85.5","1011055"
"Frank Robinson","- - -","2073","8587","2125","421","1328","1363","145","12.8 %","12.9 %",".239",".293",".292",".392",".531",".405","158","-9.0","","84.7","1011066"
"Joe Morgan","- - -","1632","7177","1652","169","1096","705","505","16.4 %","8.8 %",".161",".289",".281",".400",".442",".394","149","-9.0","","80.0","1009179"
"Ron Santo","- - -","2147","9015","2167","333","1094","1287","35","12.0 %","14.4 %",".189",".293",".278",".365",".467",".368","126","27.0","","78.5","1011447"
"Pete Rose","Reds","2182","9987","2762","134","1459","838","106","9.6 %","8.3 %",".122",".330",".311",".381",".433",".364","128","18.0","","78.2","1011217"
"Roberto Clemente","Pirates","1662","7032","2139","198","1042","974","61","6.9 %","12.8 %",".176",".359",".331",".377",".507",".387","145","132.0","","76.1","1002340"
"Joe Torre","- - -","2180","8746","2332","251","994","1176","23","8.9 %","12.4 %",".155",".318",".298",".366",".453",".364","129","-27.0","","71.3","1013133"
"Harmon Killebrew","- - -","2045","8387","1775","489","1072","1369","15","16.4 %","16.5 %",".254",".252",".257",".380",".511",".391","145","-57.0","","69.6","1006905"
"Billy Williams","- - -","2456","10433","2693","424","1406","1466","90","10.0 %","9.8 %",".202",".288",".291",".362",".493",".377","132","-43.0","","69.5","1013975"
"Willie McCovey","- - -","2021","7701","1756","439","1032","1243","19","14.6 %","15.7 %",".258",".271",".272",".383",".530",".397","152","-48.0","","69.0","1008423"
"Dick Allen","- - -","1695","7114","1807","346","1080","1088","132","12.2 %","21.4 %",".245",".336",".293",".379",".539",".405","158","-109.0","","67.7","1000137"
"Willie Davis","- - -","2356","9667","2519","180","1196","1041","394","4.2 %","9.9 %",".133",".293",".279",".311",".412",".325","108","105.0","","62.8","1003088"
"Al Kaline","Tigers","1783","7191","1807","259","1024","971","67","12.1 %","9.5 %",".188",".291",".292",".378",".479",".380","138","63.0","","62.8","1006678"
"Willie Stargell","Pirates","1870","7492","1860","388","1010","1262","14","10.3 %","21.3 %",".246",".315",".282",".360",".529",".388","146","-56.0","","61.9","1012426"
"Jimmy Wynn","- - -","1851","7782","1631","290","1088","951","221","15.3 %","17.7 %",".190",".276",".253",".368",".442",".367","133","-25.0","","61.6","1014313"
"Johnny Bench","Reds","1369","5745","1355","256","757","929","53","10.4 %","14.7 %",".211",".273",".268",".343",".478",".365","128","70.0","","60.9","1000826"
"Norm Cash","Tigers","1894","7344","1692","355","964","1024","38","13.1 %","13.9 %",".219",".272",".271",".373",".490",".381","139","39.0","","60.8","1002043"
"Tony Perez","Reds","1728","7046","1790","277","888","1115","39","8.7 %","17.6 %",".198",".310",".283",".346",".481",".367","129","11.0","","55.7","1010188"
"Reggie Jackson","- - -","1365","5614","1292","281","798","824","171","11.6 %","22.0 %",".236",".300",".267",".358",".503",".385","151","46.0","","55.6","1006308"
