"Name","Team","G","PA","H","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","Fld","BsR","WAR","playerid"
"Don Baylor","- - -","2291","9401","2135","338","1236","1276","285","8.6 %","11.4 %",".175",".260",".260",".342",".436",".349","120","-50.0","","34.9","1000700"
"Andres Galarraga","- - -","2247","8916","2333","399","1195","1425","128","6.5 %","22.5 %",".211",".336",".288",".347",".499",".363","117","-21.2","-7.1","34.7","1390"
"Willie Horton","- - -","2027","8052","1993","325","873","1163","20","7.7 %","16.3 %",".183",".292",".273",".332",".457",".349","119","-18.0","","34.7","1006038"
"Jim Piersall","- - -","1734","6591","1604","104","811","591","115","8.0 %","8.8 %",".114",".286",".272",".332",".386",".324","92","156.0","","34.7","1010340"
"Gary Matthews","- - -","2031","8189","2011","234","1083","978","183","11.5 %","13.7 %",".157",".304",".281",".364",".439",".362","121","-93.0","","34.6","1008255"
"Cecil Travis","Senators","1328","5414","1544","27","665","657","23","7.4 %","5.4 %",".102",".330",".314",".370",".416",".362","105","5.0","","34.5","1013162"
"Mike Hargrove","- - -","1628","6694","1614","80","783","686","24","14.4 %","8.2 %",".101",".307",".290",".396",".391",".358","123","-4.0","","34.5","1005361"
"Marty Marion","- - -","1572","6141","1448","36","602","624","35","7.7 %","8.7 %",".082",".286",".263",".323",".345",".318","82","130.0","","34.4","1008108"
"Tom Haller","- - -","1294","4519","1011","134","461","504","14","10.6 %","13.1 %",".157",".270",".257",".340",".414",".330","111","-2.0","","34.4","1005244"
"Buck Herzog","- - -","1493","6047","1370","20","705","445","312","7.1 %","5.4 %",".076",".274",".259",".329",".335",".328","100","29.0","","34.4","1005745"
"Ron Hansen","- - -","1384","4961","1007","106","446","501","9","11.1 %","13.0 %",".118",".250",".234",".320",".351",".303","92","86.0","","34.4","1005329"
