"Name","Team","G","PA","H","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","Fld","BsR","WAR","playerid"
"Honus Wagner","Pirates","2298","9640","2766","78","1414","1375","601","8.7 %","7.6 %",".136",".318",".325",".392",".462",".414","155","75.0","","130.8","1013485"
"Ty Cobb","Tigers","1929","8281","2713","67","1416","1211","765","8.9 %","5.4 %",".144",".399",".372",".434",".516",".463","188","3.0","","120.1","1002378"
"Eddie Collins","- - -","1716","7389","1981","25","1136","780","564","12.3 %","4.2 %",".095",".333",".325",".417",".420",".413","159","61.0","","91.9","1002451"
"Nap Lajoie","- - -","1988","8256","2521","51","1083","1141","293","5.5 %","3.8 %",".115",".292",".336",".382",".452",".396","147","87.0","","91.4","1007259"
"Tris Speaker","- - -","1619","6954","2018","45","1052","805","374","10.7 %","2.7 %",".138",".349",".338",".418",".476",".427","164","76.0","","88.4","1012309"
"Sam Crawford","- - -","2385","10037","2821","89","1298","1446","346","7.3 %","4.1 %",".141",".307",".312",".364",".453",".387","141","-43.0","","74.6","1002748"
"Sherry Magee","- - -","2087","8546","2169","83","1112","1176","441","8.6 %","7.0 %",".135",".308",".291",".364",".427",".385","138","25.0","","74.1","1007965"
"Joe Tinker","- - -","1804","7145","1687","31","774","782","336","5.8 %","5.4 %",".091",".297",".262",".308",".353",".324","97","180.0","","62.2","1013075"
"Frank Baker","- - -","1412","6033","1676","80","811","880","226","7.2 %","4.5 %",".133",".307",".309",".365",".443",".385","138","26.0","","62.1","1000453"
"Tommy Leach","- - -","1996","8401","1991","57","1260","737","334","9.1 %","8.7 %",".102",".281",".270",".341",".372",".346","112","72.0","","59.2","1007428"
"Joe Jackson","- - -","1186","5041","1554","42","768","664","193","9.2 %","4.0 %",".156",".346",".352",".420",".508",".435","165","9.0","","58.2","1006301"
"Johnny Evers","- - -","1782","7205","1659","12","919","537","324","10.8 %","4.2 %",".064",".285",".270",".356",".334",".344","111","127.0","","57.6","1003876"
"Jimmy Sheckard","- - -","1772","7657","1717","45","1055","621","345","13.0 %","10.0 %",".101",".282",".271",".374",".372",".367","123","71.0","","56.4","1011843"
"Fred Clarke","Pirates","1373","5902","1528","30","931","590","240","9.8 %","5.0 %",".118",".301",".301",".380",".420",".385","137","67.0","","54.7","1002280"
"Ed Konetchy","- - -","1827","7598","1858","58","847","847","246","8.1 %","8.2 %",".119",".304",".278",".345",".397",".359","120","53.0","","54.7","1007093"
"Larry Doyle","- - -","1629","6852","1753","70","912","743","287","8.4 %","4.4 %",".121",".295",".290",".357",".411",".372","129","-27.0","","53.6","1003467"
"Bobby Wallace","- - -","1743","6902","1618","10","681","704","154","8.0 %","9.7 %",".075",".223",".262",".325",".336",".319","101","110.0","","51.8","1013542"
"Frank Chance","- - -","1113","4537","1133","18","702","547","376","11.4 %","5.6 %",".099",".298",".297",".397",".396",".400","148","51.0","","51.0","1002131"
