"Name","Team","G","PA","H","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","Fld","BsR","WAR","playerid"
"Miller Huggins","- - -","1586","6800","1474","9","948","318","324","14.8 %","9.1 %",".049",".303",".265",".382",".314",".353","113","36.0","","48.1","1006148"
"Roger Bresnahan","- - -","1438","5355","1246","26","681","527","212","13.3 %","6.8 %",".098",".282",".279",".386",".377",".374","129","-14.0","","46.9","1001396"
"Art Devlin","- - -","1313","5241","1185","10","603","505","285","11.0 %","6.3 %",".070",".287",".269",".364",".338",".353","116","46.0","","45.8","1003248"
"Art Fletcher","Giants","1280","5014","1267","21","581","560","149","3.3 %","5.9 %",".082",".293",".276",".319",".357",".327","102","130.0","","44.6","1004149"
"Donie Bush","Tigers","1627","7335","1499","8","1085","367","377","13.7 %","6.0 %",".051",".264",".247",".357",".298",".333","102","-13.0","","43.8","1001749"
"Elmer Flick","- - -","1084","4680","1249","27","662","467","241","8.8 %","",".128",".000",".304",".375",".432",".389","147","24.0","","43.5","1004158"
"Roy Thomas","- - -","1180","5198","1191","7","742","219","165","15.6 %","8.9 %",".047",".200",".282",".403",".329",".365","128","28.0","","42.0","1012992"
"Harry Davis","- - -","1415","5950","1500","69","811","761","223","7.2 %","12.1 %",".128",".417",".279",".337",".408",".358","125","26.0","","41.3","1003053"
"Clyde Milan","Senators","1701","7217","1803","13","871","531","481","8.6 %","4.2 %",".064",".303",".283",".353",".347",".349","116","4.0","","41.2","1008856"
"Heinie Zimmerman","- - -","1456","5740","1566","58","695","796","175","4.2 %","7.4 %",".124",".314",".295",".331",".419",".355","116","-5.0","","40.9","1014444"
"Larry Gardner","- - -","1389","5630","1395","19","612","612","150","8.3 %","5.4 %",".094",".296",".284",".350",".378",".348","113","27.0","","40.6","1004528"
"Cy Seymour","- - -","1319","5510","1537","44","647","733","209","6.1 %","6.2 %",".106",".263",".306",".353",".412",".367","121","24.0","","40.2","1011777"
"Zack Wheat","Superbas","1374","5676","1547","51","635","640","162","6.3 %","7.7 %",".120",".319",".299",".351",".419",".367","124","55.0","","40.1","1013828"
"Gavvy Cravath","- - -","1174","4591","1121","118","573","708","89","12.0 %","12.0 %",".191",".313",".287",".379",".478",".405","149","-20.0","","39.8","1002735"
"Harry Hooper","Red Sox","1508","6699","1540","23","897","444","284","11.0 %","5.9 %",".089",".283",".269",".357",".358",".351","116","54.0","","39.7","1006002"
"John Titus","- - -","1402","5818","1401","38","738","561","140","10.7 %","6.3 %",".103",".292",".282",".373",".385",".366","124","-4.0","","39.4","1013085"
"Danny Murphy","- - -","1474","5894","1543","44","694","696","189","5.5 %","9.2 %",".117",".328",".290",".336",".407",".356","124","-2.0","","39.1","1009352"
"George Davis","- - -","990","4056","937","13","464","443","189","8.6 %","",".080",".000",".265",".336",".345",".335","115","85.0","","39.1","1003049"
"Heinie Groh","- - -","1000","4169","1054","17","531","314","126","10.2 %","5.3 %",".097",".310",".294",".377",".391",".373","133","18.0","","38.9","1005078"
"Jake Daubert","- - -","1353","5832","1535","35","727","459","198","7.3 %","6.6 %",".089",".321",".302",".360",".390",".362","120","19.0","","38.0","1003005"
"Topsy Hartsel","- - -","1286","5541","1274","28","797","320","237","14.6 %","",".096",".000",".275",".383",".370",".370","133","-11.0","","38.0","1005464"
"Frank Schulte","- - -","1806","7413","1766","92","906","792","233","7.4 %","10.9 %",".124",".295",".270",".332",".395",".349","113","4.0","","38.0","1011631"
"Freddy Parent","- - -","1325","5563","1305","20","633","470","184","6.0 %","",".078",".000",".262",".315",".340",".317","99","70.0","","37.5","1009992"
"Benny Kauff","- - -","804","3376","918","46","490","428","231","10.1 %","8.9 %",".137",".337",".313",".389",".450",".413","153","6.0","","37.4","1006715"
"Bill Dahlen","- - -","1203","4805","1045","22","519","528","202","9.4 %","50.0 %",".075",".000",".248",".328",".323",".322","99","77.0","","37.4","1002924"
"Bill Bradley","- - -","1304","5419","1306","26","665","485","163","4.6 %","8.0 %",".098",".215",".269",".314",".367",".326","105","58.0","","37.2","1001304"
"George Burns","Giants","1059","4632","1179","24","651","351","293","10.3 %","7.9 %",".099",".314",".289",".366",".388",".372","135","33.0","","37.1","1001708"
"Terry Turner","- - -","1659","6658","1499","8","699","528","256","6.5 %","6.5 %",".065",".263",".253",".308",".318",".308","90","102.0","","37.1","1013233"
"Max Carey","Pirates","1232","5358","1284","30","727","368","392","9.0 %","9.0 %",".092",".300",".273",".347",".366",".357","118","61.0","","36.2","1001944"
"Buck Herzog","- - -","1402","5697","1311","20","666","426","304","7.1 %","5.4 %",".078",".278",".263",".333",".341",".334","104","35.0","","36.1","1005745"
"Fred Tenney","- - -","1319","5738","1362","14","733","327","153","10.8 %","3.9 %",".058",".274",".278",".365",".337",".343","112","52.0","","36.0","1012916"
"Fielder Jones","- - -","1165","5087","1152","10","694","375","206","10.8 %","0.0 %",".057",".111",".268",".357",".326",".339","116","70.0","","36.0","1006555"
"Mike Donlin","- - -","905","3698","1106","35","580","468","179","7.6 %","6.9 %",".131",".323",".334",".389",".465",".407","144","-4.0","","35.0","1003380"
"Ginger Beaumont","- - -","1214","5160","1447","31","760","529","196","6.7 %","6.7 %",".081",".282",".311",".361",".392",".362","124","-13.0","","34.7","1000733"
"Kid Elberfeld","- - -","1237","5054","1190","10","623","506","208","8.1 %","5.7 %",".068",".241",".271",".353",".340",".343","110","-2.0","","34.6","1003722"
"Dode Paskert","- - -","1550","6327","1461","37","803","502","277","10.2 %","10.9 %",".092",".305",".269",".350",".360",".350","111","14.0","","34.5","1010042"
"Harry Steinfeldt","- - -","1317","5336","1266","25","592","610","152","7.1 %","5.4 %",".092",".265",".270",".333",".362",".336","104","18.0","","34.3","1012466"
"Bobby Veach","Tigers","1031","4381","1168","21","516","636","145","8.1 %","5.7 %",".120",".320",".304",".368",".424",".376","131","19.0","","33.3","1013388"
"Red Smith","- - -","1117","4517","1087","27","477","514","117","9.3 %","9.2 %",".099",".306",".278",".353",".377",".354","120","-11.0","","33.2","1012197"
"Hal Chase","- - -","1919","7939","2158","57","980","941","363","3.5 %","8.4 %",".100",".317",".291",".319",".391",".344","111","-65.0","","32.2","1002163"
"Del Pratt","- - -","1171","4878","1242","27","520","566","208","6.4 %","6.7 %",".109",".298",".282",".333",".391",".345","112","29.0","","32.0","1010512"
"Hans Lobert","- - -","1317","5227","1252","32","640","482","316","7.6 %","5.0 %",".092",".296",".274",".337",".366",".349","112","-61.0","","31.6","1007684"
"Jimmy Collins","- - -","955","4099","1074","25","520","450","111","5.0 %","",".111",".000",".285",".327",".396",".341","112","45.0","","31.6","1002455"
"Claude Ritchey","- - -","1149","4644","1083","8","458","443","86","9.5 %","",".068",".000",".269",".348",".338",".332","106","66.0","","31.1","1010987"
"Stuffy McInnis","- - -","1279","5181","1441","14","534","646","145","5.0 %","3.5 %",".071",".315",".308",".349",".379",".348","113","24.0","","30.2","1008569"
"Fred Merkle","- - -","1538","6041","1481","58","683","694","268","7.1 %","9.7 %",".110",".301",".272",".331",".383",".347","111","-7.0","","29.7","1008783"
"Bob Bescher","- - -","1228","5277","1171","28","749","345","428","11.7 %","9.7 %",".093",".288",".258",".353",".351",".358","116","5.0","","29.6","1000921"
"George Stone","- - -","849","3668","986","23","428","268","133","7.7 %","",".095",".000",".301",".361",".396",".367","140","9.0","","29.5","1012564"
"Johnny Bates","- - -","1154","4597","1087","25","565","417","187","10.9 %","7.7 %",".099",".314",".278",".367",".377",".366","121","-16.0","","29.4","1000662"
"Ray Chapman","Naps","940","4060","921","14","574","315","220","9.9 %","9.6 %",".096",".306",".275",".355",".371",".358","116","-32.0","","29.4","1002151"
"Mike Mowrey","- - -","1276","4979","1099","7","485","461","167","9.4 %","7.5 %",".073",".284",".256",".334",".329",".329","97","13.0","","28.5","1009271"
"Solly Hofman","- - -","1194","4691","1095","19","554","495","208","9.0 %","6.8 %",".083",".296",".269",".340",".352",".343","107","26.0","","28.5","1005917"
"Al Bridwell","- - -","1252","4928","1064","2","457","348","136","11.3 %","4.0 %",".040",".268",".255",".347",".295",".321","94","-8.0","","27.9","1001422"
"Burt Shotton","- - -","1252","5449","1279","7","703","269","288","12.6 %","8.8 %",".063",".303",".273",".368",".336",".347","114","3.0","","27.6","1011933"
"Rogers Hornsby","Cardinals","555","2243","620","27","273","266","59","7.8 %","8.3 %",".131",".331",".310",".370",".440",".388","145","27.0","","27.3","1006030"
"Dan McGann","- - -","988","4141","986","24","525","443","194","7.2 %","",".091",".000",".276",".352",".367",".353","117","19.0","","27.3","1008501"
"George Sisler","Browns","613","2593","779","21","336","281","154","5.6 %","4.6 %",".114",".342",".331",".374",".444",".395","144","15.0","","26.9","1012021"
"Amos Strunk","- - -","1103","4433","1067","11","524","383","167","9.9 %","6.8 %",".093",".306",".281",".357",".374",".351","116","18.0","","26.8","1012634"
"Socks Seybold","Athletics","975","4022","1066","51","465","548","64","7.1 %","",".131",".000",".296",".355",".427",".366","127","8.0","","26.8","1011775"
"Jimmy Williams","- - -","1198","4968","1178","35","582","612","107","7.7 %","",".113",".000",".265",".327",".378",".335","107","3.0","","26.6","1014005"
"Dick Hoblitzel","- - -","1318","5370","1310","27","591","593","173","7.6 %","5.5 %",".096",".290",".278",".341",".374",".344","109","-1.0","","26.6","1005871"
"Rabbit Maranville","Braves","913","3867","855","20","396","304","143","7.7 %","8.7 %",".084",".271",".249",".312",".333",".315","95","57.0","","26.6","1008099"
"Jack Barry","- - -","1223","4902","1009","10","532","429","153","8.1 %","5.4 %",".060",".253",".243",".321",".303",".309","92","49.0","","26.5","1000616"
"Mike Mitchell","- - -","1124","4611","1138","27","514","514","202","8.0 %","7.4 %",".102",".297",".278",".340",".380",".350","112","31.0","","26.2","1009007"
"Dots Miller","- - -","1407","5758","1344","31","633","665","161","6.3 %","8.0 %",".099",".280",".261",".315",".360",".325","97","40.0","","26.1","1008885"
"Roger Peckinpaugh","- - -","1017","4261","919","21","453","330","147","8.7 %","9.3 %",".073",".275",".247",".317",".320",".313","89","53.0","","25.9","1010116"
"Duffy Lewis","- - -","1325","5486","1400","34","567","718","110","5.8 %","8.4 %",".105",".312",".287",".335",".391",".343","110","26.0","","25.9","1007579"
"Fred Luderus","- - -","1330","5370","1339","84","569","638","55","7.7 %","7.8 %",".126",".291",".278",".340",".404",".352","112","-10.0","","25.3","1007813"
"Red Murray","- - -","1264","4786","1170","37","555","579","321","6.2 %","6.8 %",".109",".289",".270",".323",".379",".348","112","7.0","","25.2","1009397"
"Chief Meyers","- - -","992","3226","826","14","276","363","44","8.5 %","5.4 %",".086",".308",".291",".367",".378",".357","115","5.0","","25.1","1008823"
"Johnny Kling","- - -","1245","4586","1136","20","466","506","123","6.1 %","9.4 %",".085",".290",".271",".318",".357",".324","98","12.0","","24.8","1007008"
"Sammy Strang","- - -","862","3344","749","16","458","237","211","13.5 %","",".076",".000",".269",".379",".345",".365","123","-15.0","","24.8","1012599"
"Edd Roush","- - -","718","2819","795","17","355","310","124","5.3 %","4.4 %",".108",".326",".314",".359",".423",".381","137","7.0","","24.6","1011247"
"Mickey Doolan","- - -","1728","6598","1376","15","513","554","173","5.6 %","9.6 %",".075",".258",".230",".279",".306",".286","71","51.0","","24.6","1003402"
"Patsy Dougherty","- - -","1233","5109","1294","17","678","413","261","7.4 %","",".076",".000",".284",".346",".360",".348","121","-39.0","","24.5","1003430"
"Jimmy Austin","- - -","1451","5859","1224","12","608","354","239","9.5 %","9.4 %",".067",".275",".244",".324",".311",".315","92","-9.0","","24.3","1000372"
"Jim Delahanty","- - -","1186","4688","1159","19","520","489","151","8.1 %","8.5 %",".089",".316",".283",".357",".373",".355","120","-90.0","","24.0","1003157"
"Fred Snodgrass","- - -","923","3658","852","11","453","351","215","10.6 %","10.1 %",".084",".309",".275",".367",".359",".362","118","16.0","","24.0","1012234"
"Sam Mertes","- - -","826","3504","844","23","475","519","267","8.7 %","",".118",".000",".273",".343",".391",".363","119","11.0","","23.8","1008794"
"Steve Evans","- - -","978","3893","963","32","478","466","86","9.2 %","9.1 %",".121",".317",".287",".374",".407",".377","122","-24.0","","23.6","1003870"
"Bobby Byrne","- - -","1283","5480","1225","10","667","329","176","8.3 %","6.0 %",".070",".284",".254",".324",".323",".318","92","-12.0","","23.4","1001797"
"Jimmy Slagle","- - -","1010","4438","1012","2","572","258","217","11.4 %","",".046",".000",".265",".353",".311",".333","107","30.0","","23.2","1012048"
"Wid Conroy","- - -","1374","5592","1257","22","605","452","262","6.2 %","",".080",".000",".248",".301",".329",".310","93","19.0","","23.1","1002544"
"Matty McIntyre","- - -","1072","4512","1066","4","562","319","120","9.7 %","",".073",".000",".269",".346",".343",".335","110","38.0","","22.9","1008573"
"Chick Gandil","- - -","1147","4723","1176","11","449","557","153","5.8 %","5.9 %",".085",".298",".277",".327",".362",".331","103","41.0","","22.3","1004476"
"Jesse Burkett","- - -","707","3198","849","24","462","241","92","10.2 %","",".098",".000",".301",".379",".399",".371","132","5.0","","22.2","1001682"
"Frank LaPorte","- - -","1194","4651","1185","15","501","560","101","6.2 %","5.9 %",".095",".291",".281",".331",".377",".340","105","-23.0","","22.1","1007340"
"John Anderson","- - -","1039","4246","1136","21","470","557","196","4.8 %","",".094",".000",".286",".324",".380",".339","114","6.0","","21.9","1000232"
"Eddie Foster","- - -","1151","4983","1188","6","584","356","168","7.9 %","4.7 %",".063",".277",".264",".326",".327",".318","93","9.0","","21.7","1004248"
"Davy Jones","- - -","1090","4368","1020","9","643","289","207","10.9 %","3.2 %",".054",".286",".270",".356",".325",".341","108","24.0","","21.5","1006544"
"George McBride","- - -","1646","6186","1194","7","510","444","133","6.7 %","10.9 %",".046",".236",".218",".281",".264",".269","65","100.0","","21.5","1008342"
"Chief Wilson","- - -","1280","5041","1246","59","520","571","98","4.8 %","10.6 %",".122",".300",".269",".311",".391",".331","100","38.0","","21.3","1014066"
"Doc Gessler","- - -","880","3456","831","14","370","363","142","9.6 %","",".091",".000",".280",".370",".370",".364","129","-26.0","","21.3","1004642"
"Charlie Hemphill","- - -","1176","4839","1165","19","553","395","204","8.7 %","",".069",".000",".271",".338",".340",".334","109","-7.0","","21.2","1005624"
"Wally Schang","- - -","731","2518","568","17","301","268","68","12.5 %","10.7 %",".108",".307",".273",".384",".381",".374","132","-18.0","","21.0","1011521"
"Chick Stahl","Americans","781","3407","871","17","464","339","105","8.2 %","",".099",".000",".290",".357",".389",".357","120","-3.0","","21.0","1012381"
"Willie Keeler","- - -","1161","5063","1365","12","696","287","161","5.2 %","7.1 %",".052",".333",".305",".352",".357",".343","114","-13.0","","20.9","1006747"
"Buck Weaver","White Sox","1103","4602","1100","19","521","346","153","3.4 %","6.9 %",".082",".287",".263",".298",".345",".307","88","6.0","","20.8","1013694"
"Jake Stahl","- - -","981","3845","894","31","405","437","178","5.7 %","50.0 %",".121",".000",".261",".323",".382",".345","122","-20.0","","20.7","1012382"
"Harry Lord","- - -","972","4141","1024","14","506","294","206","5.5 %","5.2 %",".078",".274",".277",".326",".356",".335","106","-32.0","","20.5","1007761"
"Charlie Hickman","- - -","914","3609","986","49","393","499","61","3.7 %","",".140",".000",".291",".325",".432",".353","123","-26.0","","20.4","1005773"
"Buck Freeman","Americans","820","3385","879","48","403","504","59","6.4 %","",".157",".000",".286",".339",".442",".362","122","-3.0","","20.1","1004316"
"Babe Ruth","Red Sox","391","1327","342","49","202","230","13","14.3 %","13.9 %",".260",".334",".308",".413",".568",".454","180","8.0","","20.1","1011327"
"Lave Cross","- - -","847","3605","987","6","442","475","102","3.7 %","",".082",".000",".291",".320",".373",".328","102","5.0","","20.1","1002808"
"Harry Lumley","Superbas","730","2963","728","38","300","305","110","6.9 %","24.0 %",".134",".200",".274",".328",".408",".355","127","-11.0","","20.0","1007830"
"Vic Saier","- - -","865","3431","775","55","455","395","121","11.0 %","10.8 %",".146",".285",".263",".351",".409",".365","120","-9.0","","20.0","1011372"
"Otto Knabe","- - -","1278","5255","1103","8","572","365","143","9.2 %","5.3 %",".067",".267",".247",".325",".313",".316","88","18.0","","19.7","1007024"
"Bill Sweeney","- - -","1039","4253","1004","11","442","389","172","9.9 %","5.1 %",".072",".298",".272",".349",".344",".342","100","-33.0","","19.5","1012771"
"Art Wilson","- - -","793","2418","535","24","237","226","50","12.0 %","12.1 %",".104",".298",".263",".359",".367",".355","115","-2.0","","19.3","1014059"
"Jimmy Barrett","- - -","703","3089","756","11","436","203","95","11.3 %","",".066",".000",".283",".371",".349",".350","117","15.0","","19.2","1000596"
"Danny Green","- - -","656","2795","706","14","373","291","134","9.2 %","",".091",".000",".290",".365",".381",".362","128","12.0","","19.1","1004988"
"Tilly Walker","- - -","925","3606","907","39","405","381","113","6.3 %","10.5 %",".116",".306",".279",".329",".395",".346","113","7.0","","18.9","1013534"
"Casey Stengel","- - -","804","3214","770","34","367","347","100","9.5 %","10.3 %",".120",".300",".273",".348",".393",".359","121","7.0","","18.8","1012481"
"Heinie Wagner","- - -","983","3771","834","10","402","343","144","8.2 %","8.3 %",".076",".257",".250",".319",".326",".319","98","-19.0","","18.7","1013483"
"Doc Casey","- - -","942","4082","945","8","493","293","148","5.9 %","",".063",".000",".258",".311",".321",".309","89","10.0","","18.6","1002038"
"Frank Isbell","White Sox","1074","4483","1019","13","484","447","250","4.2 %","",".078",".000",".251",".291",".329",".306","96","39.0","","18.5","1006283"
"John Hummel","- - -","1161","4377","991","29","421","394","117","7.9 %","11.7 %",".098",".294",".254",".316",".352",".323","99","-6.0","","18.3","1006180"
"George Cutshaw","- - -","1110","4562","1080","23","455","479","227","5.2 %","4.4 %",".084",".270",".261",".304",".345",".316","91","30.0","","18.2","1002913"
"Milt Stock","- - -","731","2976","733","9","346","247","102","7.4 %","5.3 %",".066",".291",".276",".334",".342",".328","103","20.0","","18.2","1012551"
"Ray Schalk","White Sox","931","3299","707","4","297","284","127","9.6 %","5.8 %",".055",".266",".250",".333",".305",".315","94","25.0","","18.0","1011517"
"Wally Pipp","- - -","683","2860","659","34","336","322","65","8.5 %","10.9 %",".132",".288",".262",".331",".394",".349","111","24.0","","18.0","1010365"
"Rube Oldring","- - -","1239","5096","1268","27","616","471","197","4.0 %","6.2 %",".093",".276",".270",".307",".364",".324","103","-8.0","","17.9","1009764"
"Bill Hinchman","- - -","890","3467","790","20","364","368","85","8.6 %","10.1 %",".108",".316",".261",".336",".369",".342","118","-9.0","","17.9","1005839"
"Braggo Roth","- - -","630","2547","625","19","318","320","164","9.5 %","12.2 %",".131",".322",".283",".360",".413",".380","131","-15.0","","17.9","1011238"
"Jack Graney","Naps","1233","5181","1092","16","650","387","143","12.7 %","8.1 %",".093",".271",".249",".351",".342",".339","103","-2.0","","17.8","1004943"
"Happy Felsch","White Sox","607","2516","637","24","297","331","80","6.8 %","9.0 %",".117",".306",".282",".338",".400",".354","118","15.0","","17.7","1003977"
"Kitty Bransfield","- - -","1325","5377","1349","13","527","636","175","4.1 %","7.9 %",".083",".261",".270",".304",".353",".316","96","-4.0","","17.6","1001356"
"Lee Tannehill","White Sox","1090","4184","833","3","331","346","63","5.5 %","",".052",".000",".220",".269",".273",".262","69","113.0","","17.5","1012823"
"Hobe Ferris","- - -","1287","5111","1146","40","473","550","89","3.2 %","",".102",".000",".239",".265",".341",".286","79","70.0","","17.1","1004013"
"Birdie Cree","Highlanders","742","2982","761","11","345","332","132","9.0 %","8.3 %",".105",".299",".292",".368",".398",".370","124","-9.0","","17.0","1002752"
"Lee Magee","- - -","1015","4209","1031","12","467","277","186","6.3 %","4.9 %",".074",".289",".276",".325",".350",".330","98","3.0","","17.0","1007964"
"George Stovall","- - -","1414","5596","1382","15","547","564","142","3.1 %","7.1 %",".074",".281",".265",".292",".339",".304","88","43.0","","17.0","1012584"
"Ward Miller","- - -","769","2680","623","8","322","221","128","11.9 %","9.2 %",".077",".311",".278",".375",".355",".363","115","6.0","","16.9","1008939"
"Jake Beckley","- - -","784","3365","932","12","400","404","74","5.4 %","",".096",".000",".304",".349",".400",".353","114","-14.0","","16.8","1000754"
"George Browne","- - -","1102","4717","1176","18","614","303","190","5.5 %","5.3 %",".066",".313",".273",".318",".339",".321","100","-1.0","","16.6","1001519"
"Ed Delahanty","- - -","304","1331","422","19","231","222","48","10.4 %","",".180",".000",".360",".433",".541",".450","168","4.0","","16.3","1003155"
"George Burns","- - -","752","3000","784","29","330","347","70","4.4 %","7.1 %",".109",".303",".287",".332",".396",".348","113","2.0","","16.2","1001709"
"Max Flack","- - -","786","3277","780","18","429","201","150","8.4 %","5.4 %",".083",".283",".270",".337",".354",".342","107","17.0","","16.1","1004124"
"Dave Bancroft","Phillies","639","2712","583","14","308","157","63","10.3 %","8.4 %",".068",".270",".248",".330",".316",".315","93","23.0","","16.1","1000503"
"Shano Collins","White Sox","1202","4770","1104","16","502","478","180","5.3 %","7.9 %",".104",".279",".257",".304",".361",".319","95","42.0","","16.1","1002466"
"Ossie Vitt","- - -","900","3830","785","3","481","254","108","9.6 %","3.1 %",".056",".251",".243",".322",".299",".306","85","29.0","","15.8","1013444"
"Ping Bodie","- - -","890","3540","857","36","325","425","77","7.5 %","8.5 %",".117",".286",".275",".336",".393",".345","107","0.0","","15.7","1001112"
"George Gibson","- - -","1213","4190","893","15","295","345","40","6.8 %","5.9 %",".075",".261",".236",".295",".312",".293","80","19.0","","15.3","1004668"
"Jiggs Donahue","- - -","808","3200","729","4","318","324","142","6.7 %","",".057",".000",".256",".312",".312",".310","103","27.0","","15.1","1003370"
"Ed Abbaticchio","- - -","827","3346","748","11","346","310","138","8.4 %","8.0 %",".073",".267",".254",".326",".327",".323","101","-52.0","","15.0","1000005"
"Rebel Oakes","- - -","986","4052","1011","15","428","397","163","6.5 %","4.8 %",".067",".294",".279",".334",".346",".335","98","-17.0","","14.8","1009672"
"Tim Jordan","- - -","540","2124","474","32","220","232","48","12.0 %","40.0 %",".120",".000",".261",".355",".382",".359","131","-23.0","","14.7","1006619"
"Joe Kelley","- - -","740","3107","771","13","422","326","88","9.2 %","",".102",".000",".284",".358",".386",".356","112","-18.0","","14.7","1006776"
"Homer Smoot","- - -","680","2891","763","15","308","269","84","5.2 %","",".090",".000",".290",".336",".380",".341","113","-17.0","","14.4","1012220"
"Baldy Louden","- - -","603","2295","507","12","267","202","112","11.1 %","9.0 %",".073",".293",".261",".355",".334",".350","106","-2.0","","14.3","1007766"
"Beals Becker","- - -","876","3091","763","45","367","292","129","7.8 %","10.5 %",".121",".312",".276",".335",".397",".354","112","-13.0","","14.3","1000740"
"Dave Brain","- - -","679","2743","641","27","254","303","73","4.9 %","",".111",".000",".252",".292",".363",".313","95","-1.0","","14.3","1001335"
"Jack Tobin","- - -","623","2576","651","19","302","189","79","8.3 %","6.1 %",".099",".302",".287",".352",".385",".361","112","-9.0","","14.1","1013088"
"Ray Morgan","Senators","741","2918","630","4","278","254","87","11.0 %","7.3 %",".068",".281",".254",".348",".322",".329","101","10.0","","14.1","1009182"
"Roy Hartzell","- - -","1290","5221","1146","12","503","397","182","8.7 %","7.0 %",".057",".265",".252",".327",".309",".312","92","-24.0","","14.0","1005468"
"Dutch Zwilling","- - -","366","1443","364","30","167","202","46","8.9 %","10.3 %",".153",".311",".284",".351",".438",".384","129","11.0","","13.9","1014467"
"Joe Judge","Senators","482","2093","484","5","250","144","80","11.4 %","7.5 %",".102",".294",".270",".360",".371",".359","118","3.0","","13.9","1006644"
"Christy Mathewson","- - -","640","1874","360","7","150","164","20","6.1 %","10.7 %",".056",".239",".215",".273",".271",".264","60","-1.0","","13.9","1008235"
"Al Wickland","- - -","444","1756","397","12","212","144","58","11.8 %","10.5 %",".116",".303",".270",".364",".386",".370","124","14.0","","13.9","1013920"
"George Moriarty","- - -","1076","4101","920","5","372","376","248","5.7 %","6.0 %",".062",".263",".251",".303",".312",".309","88","12.0","","13.9","1009190"
"Harry Bay","- - -","673","2960","722","5","413","141","169","6.6 %","",".062",".000",".273",".328",".336",".328","108","9.0","","13.8","1000698"
"Harry Heilmann","Tigers","574","2275","575","22","247","309","41","7.8 %","7.6 %",".126",".305",".286",".348",".412",".361","121","-14.0","","13.7","1005590"
"Jack Fournier","- - -","471","1693","418","15","201","202","67","9.6 %","9.4 %",".136",".319",".286",".369",".423",".379","137","6.0","","13.6","1004264"
"Les Mann","- - -","874","3342","827","20","396","319","99","5.4 %","9.8 %",".110",".298",".270",".314",".380",".334","102","15.0","","13.5","1008073"
"Mike Grady","- - -","392","1436","359","20","175","167","40","9.7 %","",".147",".000",".285",".364",".431",".376","131","3.0","","13.4","1004917"
"Ted Easterly","- - -","706","2188","607","8","215","261","42","4.9 %","5.3 %",".093",".316",".300",".338",".394",".349","109","-6.0","","13.4","1003643"
"Tommy Clarke","Reds","699","1985","453","6","169","191","42","10.9 %","9.2 %",".093",".295",".265",".351",".358",".344","108","5.0","","13.4","1002313"
