"Name","Team","G","PA","H","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","Fld","BsR","WAR","playerid"
"Cap Anson","- - -","2523","11319","3418","97","1996","2076","276","8.7 %","2.8 %",".112",".339",".333",".393",".445",".389","131","59.0","","88.7","1000272"
"Roger Connor","- - -","1997","8837","2467","138","1620","1322","244","11.3 %","5.1 %",".169",".324",".317",".397",".486",".404","141","82.0","","86.3","1002537"
"Dan Brouthers","- - -","1671","7653","2296","106","1523","1296","256","11.0 %","3.1 %",".177",".344",".342",".424",".520",".432","156","-14.0","","80.2","1001486"
"Billy Hamilton","- - -","1489","7159","2058","37","1619","698","892","15.7 %","4.5 %",".089",".369",".348",".458",".436",".452","151","26.0","","66.1","1005270"
"Jack Glasscock","- - -","1736","7535","2040","27","1163","825","372","5.8 %","2.9 %",".084",".293",".290",".337",".374",".339","111","149.0","","58.7","1004757"
"Ed Delahanty","- - -","1531","7058","2174","82","1368","1242","407","8.5 %","5.3 %",".155",".344",".343",".407",".499",".424","138","16.0","","55.3","1003155"
"Jim O'Rourke","- - -","1998","9047","2642","62","1728","1203","224","5.6 %","4.0 %",".112",".319",".311",".352",".423",".359","127","-37.0","","52.2","1009839"
"Bid McPhee","Red Stockings","2135","9409","2250","53","1678","1067","568","10.4 %","4.9 %",".101",".290",".271",".355",".372",".354","106","154.0","","51.4","1008675"
"Jesse Burkett","- - -","1359","6407","2001","51","1258","711","297","11.0 %","6.0 %",".113",".367",".357",".433",".470",".429","144","-9.0","","50.6","1001682"
"Harry Stovey","- - -","1486","6832","1771","122","1492","908","509","9.7 %","9.4 %",".173",".294",".289",".361",".461",".388","135","28.0","","47.7","1012586"
"Cupid Childs","- - -","1393","6484","1659","20","1190","722","266","14.8 %","3.2 %",".085",".328",".308",".418",".393",".397","127","29.0","","47.7","1002186"
"Buck Ewing","- - -","1315","5770","1625","71","1129","883","354","6.8 %","5.1 %",".153",".311",".303",".351",".456",".376","125","74.0","","47.5","1003881"
"George Davis","- - -","1378","6095","1723","60","1075","994","427","8.6 %","4.4 %",".130",".313",".314",".378",".444",".393","123","61.0","","47.3","1003049"
"Paul Hines","- - -","1659","7470","2134","57","1217","855","163","5.0 %","4.1 %",".107",".310",".302",".340",".409",".345","125","19.0","","45.4","1005845"
"King Kelly","- - -","1455","6455","1813","69","1357","950","368","8.5 %","6.5 %",".131",".323",".308",".368",".438",".379","134","-44.0","","45.0","1006806"
"Hugh Duffy","- - -","1624","7412","2171","104","1495","1249","559","8.5 %","4.0 %",".125",".338",".325",".386",".451",".400","120","73.0","","44.5","1003533"
"John McGraw","- - -","947","4362","1178","12","924","425","398","16.7 %","3.3 %",".074",".335",".337",".465",".411",".443","147","11.0","","44.4","1008542"
"Hardy Richardson","- - -","1331","6029","1688","70","1120","822","205","6.3 %","7.4 %",".136",".316",".299",".344",".435",".359","124","54.0","","43.7","1010909"
"Mike Griffin","- - -","1511","6832","1753","42","1405","719","473","11.8 %","4.7 %",".111",".309",".296",".388",".407",".386","124","66.0","","43.2","1005047"
"Mike Tiernan","Giants","1476","6716","1834","106","1313","851","428","11.1 %","5.8 %",".152",".320",".311",".392",".463",".403","133","2.0","","42.9","1013062"
"George Gore","- - -","1310","6104","1612","46","1327","618","170","11.7 %","5.4 %",".110",".315",".301",".386",".411",".375","130","33.0","","42.8","1004879"
"Joe Kelley","- - -","1113","5013","1449","52","999","868","355","12.4 %","5.9 %",".155",".358",".338",".428",".492",".437","142","36.0","","42.8","1006776"
"Jake Beckley","- - -","1602","7105","1998","74","1200","1171","241","6.1 %","5.5 %",".143",".313",".309",".367",".452",".380","115","53.0","","42.8","1000754"
"Bill Dahlen","- - -","1240","5585","1412","62","1070","705","345","11.0 %","7.5 %",".140",".317",".293",".383",".433",".391","117","62.0","","42.6","1002924"
"Deacon White","- - -","1560","6972","2066","23","1140","977","57","4.4 %","3.2 %",".080",".320",".312",".346",".392",".339","121","-19.0","","42.4","1013860"
"Hughie Jennings","- - -","1114","4942","1362","16","921","766","337","6.2 %","4.0 %",".095",".330",".318",".398",".413",".397","124","60.0","","42.4","1006396"
"Pete Browning","- - -","1183","5315","1646","46","954","659","258","8.8 %","7.9 %",".125",".347",".341",".403",".467",".407","149","-17.0","","41.6","1001554"
"Sam Thompson","- - -","1399","6470","1972","127","1252","1296","229","6.9 %","3.5 %",".175",".330",".331",".384",".506",".404","132","11.0","","41.2","1013024"
"Ed McKean","- - -","1654","7610","2083","66","1227","1124","323","8.3 %","3.2 %",".114",".318",".302",".364",".416",".367","114","-48.0","","40.2","1008581"
"Charlie Bennett","- - -","1062","4310","978","55","549","533","42","11.1 %","13.3 %",".131",".289",".256",".340",".387",".339","115","142.0","","39.6","1000836"
"John Ward","- - -","1825","8084","2104","26","1408","867","540","5.2 %","4.0 %",".066",".285",".275",".314",".341",".318","100","75.0","","39.1","1013615"
"Willie Keeler","- - -","962","4531","1567","21","1023","523","334","5.7 %","1.7 %",".096",".375",".381",".426",".477",".432","140","43.0","","38.4","1006747"
"George Van Haltren","- - -","1741","7953","2255","68","1501","932","539","9.7 %","5.8 %",".107",".332",".317",".387",".424",".391","121","-34.0","","38.4","1013357"
"Jimmy Ryan","- - -","1778","8092","2238","105","1508","1003","399","9.2 %","6.2 %",".138",".323",".309",".379",".447",".388","118","-6.0","","38.1","1011341"
"Fred Dunlap","- - -","965","4264","1159","41","759","366","85","6.6 %","6.9 %",".114",".293",".292",".340",".406",".344","128","80.0","","37.6","1003566"
"Ned Williamson","- - -","1201","5082","1159","64","809","667","88","10.0 %","10.5 %",".130",".277",".255",".332",".384",".332","110","87.0","","37.3","1014027"
"Herman Long","- - -","1524","7102","1845","86","1334","912","476","7.7 %","5.5 %",".116",".303",".289",".349",".405",".363","101","55.0","","36.6","1007731"
"Billy Nash","- - -","1549","6719","1606","60","1072","977","265","12.0 %","6.4 %",".106",".292",".275",".366",".381",".358","105","40.0","","33.8","1009456"
