"Name","Team","G","PA","H","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","Fld","BsR","WAR","playerid"
"Joe Simpson","- - -","480","1494","332","9","161","124","45","6.0 %","12.2 %",".076",".274",".244",".292",".320",".276","65","8.0","","-0.7","1011996"
"Chico Walker","- - -","510","1351","299","17","150","116","67","8.1 %","15.7 %",".084",".281",".246",".305",".329",".293","78","-20.0","","-0.9","1013509"
"Steve Jeltz","- - -","667","2041","367","5","183","130","18","12.2 %","16.8 %",".058",".257",".210",".308",".268",".265","61","-15.0","","-0.9","1006387"
"Glenn Adams","- - -","521","1587","407","30","140","207","4","6.2 %","9.2 %",".118",".291",".280",".324",".398",".320","93","-12.0","","-1.0","1000052"
"Terry Francona","- - -","648","1827","474","16","163","143","12","3.6 %","6.5 %",".077",".285",".274",".300",".351",".288","78","-3.0","","-1.1","1004292"
"Brad Wellman","- - -","365","1015","214","6","97","77","26","5.8 %","17.3 %",".056",".277",".231",".280",".287",".259","61","-11.0","","-1.1","1013765"
"Julio Gonzalez","- - -","342","1038","228","4","90","66","13","3.5 %","12.7 %",".062",".268",".235",".269",".297",".257","60","-10.0","","-1.1","1004838"
"Mike Fischlin","- - -","404","1082","207","3","109","68","24","8.5 %","13.1 %",".053",".255",".220",".291",".273",".263","59","-15.0","","-1.2","1004070"
"Roger Metzger","- - -","318","1019","205","0","81","70","21","8.0 %","8.1 %",".064",".246",".225",".287",".288",".266","65","-25.0","","-1.2","1008812"
"Rowland Office","- - -","495","1592","359","22","157","147","18","7.0 %","11.9 %",".094",".270",".248",".305",".342",".292","72","-12.0","","-1.3","1009741"
"Lou Brock","Cardinals","348","1274","322","7","156","96","73","5.5 %","11.5 %",".073",".301",".270",".312",".343",".294","77","-13.0","","-1.3","1001458"
"Dick Davis","- - -","395","1294","323","27","160","141","13","3.9 %","11.7 %",".129",".281",".265",".294",".394",".305","87","-19.0","","-1.3","1003046"
"Carlos Martinez","- - -","429","1518","372","24","138","152","10","4.5 %","13.3 %",".103",".287",".261",".294",".364",".292","79","-17.0","","-1.3","1008158"
"Marvell Wynne","- - -","868","2937","664","40","300","244","80","6.5 %","13.6 %",".105",".275",".247",".297",".352",".289","78","-43.0","","-1.5","1014312"
"Dave McKay","- - -","520","1796","381","19","175","146","18","4.0 %","16.5 %",".089",".266",".229",".264",".318",".264","60","-11.0","","-1.6","1008579"
"Mario Mendoza","- - -","415","1126","225","4","82","72","11","3.3 %","13.5 %",".050",".250",".218",".247",".268",".235","39","4.0","","-1.6","1008760"
"Doug Dascenzo","- - -","455","1352","286","5","153","90","49","7.5 %","8.5 %",".063",".254",".235",".294",".299",".271","62","-4.0","","-1.6","1002998"
"Larry Milbourne","- - -","687","2199","517","10","220","159","28","4.7 %","6.3 %",".067",".268",".256",".292",".324",".274","64","-23.0","","-1.7","1008858"
"Domingo Ramos","- - -","435","1210","261","8","109","85","6","7.6 %","11.4 %",".057",".267",".240",".302",".297",".272","62","-19.0","","-1.7","1010677"
"Dan Meyer","- - -","867","3162","749","73","313","389","42","5.5 %","7.2 %",".134",".255",".257",".297",".391",".303","84","-45.0","","-1.9","1008824"
"John Russell","- - -","421","1189","245","34","113","129","3","7.1 %","29.9 %",".145",".298",".225",".282",".371",".289","77","-34.0","","-2.2","1011317"
"Rob Picciolo","- - -","618","1720","381","17","192","109","9","1.5 %","14.8 %",".078",".267",".234",".246",".312",".248","53","-18.0","","-2.5","1010307"
"John Moses","- - -","654","1910","438","11","247","145","101","7.5 %","11.8 %",".079",".285",".254",".313",".333",".290","74","-27.0","","-2.7","1009243"
"Luis Gomez","- - -","358","1062","207","0","78","79","3","6.3 %","9.2 %",".036",".241",".217",".268",".253",".234","36","-6.0","","-3.0","1004823"
"Tom Veryzer","- - -","676","2187","483","6","177","147","5","4.2 %","9.0 %",".047",".261",".240",".278",".287",".256","53","-29.0","","-3.2","1013418"
"Ed Romero","- - -","658","2111","473","8","218","155","9","6.6 %","7.5 %",".055",".264",".247",".298",".302",".273","67","-50.0","","-3.6","1011171"
"Jerry Morales","- - -","681","2228","513","37","221","267","18","7.0 %","11.7 %",".123",".270",".253",".305",".376",".303","80","-56.0","","-3.6","1009138"
"Andres Thomas","Braves","573","2185","493","42","182","228","22","2.7 %","13.8 %",".100",".254",".234",".255",".334",".259","54","-28.0","","-3.9","1012962"
"Scot Thompson","- - -","580","1391","333","5","132","110","17","7.0 %","10.1 %",".067",".288",".262",".312",".328",".288","72","-31.0","","-3.9","1013025"
"Jackie Gutierrez","- - -","320","1023","227","4","106","63","25","3.2 %","12.0 %",".048",".266",".237",".261",".285",".249","49","-36.0","","-4.5","1005156"
"Johnnie LeMaster","- - -","936","3331","674","20","307","211","90","7.1 %","15.9 %",".065",".263",".223",".279",".288",".257","59","-60.0","","-5.1","1007513"
"Doug Flynn","- - -","1072","3707","822","5","251","244","15","3.5 %","7.6 %",".055",".252",".234",".261",".289",".241","48","-26.0","","-8.4","1004182"
